,precision,recall,f1-score,support
toxicity,0.9538043478260869,0.9971590909090909,0.975,1056.0
obscene,0.8582089552238806,0.92,0.8880308880308881,250.0
threat,0.8333333333333334,0.9139784946236559,0.8717948717948718,93.0
insult,0.8686708860759493,0.8686708860759493,0.8686708860759493,632.0
identity_attack,0.8671586715867159,0.8834586466165414,0.8752327746741155,266.0
sexual_explicit,0.6770186335403726,0.8934426229508197,0.7703180212014135,122.0
micro avg,0.8908589440504334,0.9346837536171972,0.9122453096631027,2419.0
macro avg,0.8430324712643898,0.9127849568626761,0.8748412402962064,2419.0
weighted avg,0.8935635014651963,0.9346837536171972,0.9129703851734321,2419.0
samples avg,0.9031616982836495,0.9450466726889489,0.9097324385942273,2419.0
